id,user_id
8658,4926
8635,3627
8669,4375
8659,4931
8633,4887
8670,4944
8671,4945
8624,4843
8692,4296
8694,4917
8696,4987
8698,4991
10547,7557
8688,4843
8643,1882
8648,4904
10351,7319
9445,6072
9441,6069
8087,4233
8634,4888
8641,4897
8552,4753
8664,4936
8690,4983
8695,4986
8714,5004
9418,5758
8705,5005
8654,4914
8661,4933
8723,4843
8725,4451
13810,7121
8727,5032
8730,5037
5627,3418
8745,5049
8656,4355
8729,5034
8748,5050
9957,6755
8467,4628
10037,6888
8655,4918
10039,6665
10040,6890
8628,1
9440,6068
11222,8359
8771,1126
8749,5057
8776,5010
9425,4475
8778,5115
8751,5054
8509,4677
7629,3168
8777,5111
8786,5133
8391,4535
8746,5039
9446,2961
9727,6443
9728,6444
8713,5017
8267,4318
8755,31
8797,5
8795,5144
8775,4050
8812,5089
8798,5110
9452,6080
8789,5137
8794,5128
7237,3809
8810,4090
9428,6054
8785,3771
8788,5138
10034,6843
8719,5023
8759,5072
8818,5167
8758,5060
8684,4966
9429,6050
9436,6051
8756,31
8631,1
8686,4974
8685,4957
8835,5201
8828,5182
8826,5171
6627,3761
8858,5232
8864,5252
8831,5186
9831,6556
9897,6683
9899,6685
8687,4976
10035,6887
8869,5243
8770,5088
8913,4843
12844,5495
13812,11437
8926,5350
8772,5102
8843,4574
8899,5306
9746,5520
8838,5209
8882,5276
8897,5308
8928,5353
10038,5619
8944,4390
8844,4217
8872,5265
8896,5272
8905,4429
8900,5314
8942,5371
9755,6478
9752,6474
8949,5328
8951,4448
9460,6084
12846,10276
8904,5319
8892,5293
8941,5175
8915,4843
8923,5341
8487,4363
8922,2842
8932,5364
8945,5373
8907,3481
10552,3789
10087,4780
8875,5270
9749,5252
8853,4387
248,1538
12847,9877
1609,386
1242,2783
9837,3061
9834,4469
2145,685
2146,685
2148,2254
2471,2254
4030,1463
5126,82
12675,6180
13135,10125
11926,9215
13813,10077
10041,2783
11226,6003
11227,8232
11314,4795
10042,2783
11932,6757
11228,8362
7485,3801
10080,6967
9896,6470
7712,3017
9841,6590
10757,7796
9470,4402
12850,6116
9750,6402
6794,3820
9751,4172
9754,6477
13814,9614
9838,31
9840,3627
9758,6485
10759,5399
9469,4296
9954,6759
9998,6212
10007,5814
10020,2113
9471,6098
9475,4924
13004,10474
9483,4617
9485,4987
9759,6486
9910,3835
9913,6703
13815,11441
9956,6763
9911,6652
9959,6771
2331,3017
13899,11547
9486,6107
11318,8433
13136,6977
9481,1813
13325,6361
13039,10531
12853,10286
13387,10911
13238,5944
13239,10763
13481,11013
13546,11077
13581,4479
13545,10697
13598,9024
11747,9024
13612,9266
12554,9969
13388,10912
13453,6212
13137,10660
7054,20
35,1370
13328,7938
13329,9126
13482,3497
13524,20
13506,11035
5,3228
9763,6490
20,2813
21,2813
37,18
74,1003
102,103
103,103
104,103
137,291
138,291
139,291
